category,subcategory,title,authors,date,year,Accuracy,BER,EER,F1,FAR,FPR,FNR,FRR,Precision,Recall,TPR,Device,Proposed Scheme,Target Goal,open science,publisher,url,cite
Biometric-based Authentication,ECG Authentication ,Activity-aware ECG-based patient authentication for remote health monitoring,"JC Sriram, M Shin, T Choudhury, D Kotz",2009,2009,,,,,,,,,,,,Wearable ECG sensors,Activity-aware ECG and accelerometer-based system,User authentication,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1647314.1647378,~\cite{sriram2009activity}
Biometric-based Authentication,ECG Authentication ,ECG authentication system design based on signal analysis in mobile and wearable devices,"SJ Kang, SY Lee, HI Cho, H Park",2016,2016,,,,,5.20%,,,1.90%,,,,Watch,Using cross correlation of the templates extracted during the registration and authentication stages,User authentication,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7412667/,~\cite{kang2016ecg}
Biometric-based Authentication,ECG Authentication ,ECG based user authentication for wearable devices using short time Fourier transform,"SY Chun, JH Kang, H Kim, C Lee…",2016,2016,,,0.9% - 2.2%,,,,,,,,,Stand-alone Wearable ECG Sensors,STFT with magnitude and phase information,Quick response time and limited access,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7760964/,~\cite{chun2016ecg}
Biometric-based Authentication,ECG Authentication ,Single pulse ECG-based small scale user authentication using guided filtering,Se Young Chun,2016,2016,,,2.40%,,,,,,,,,Wearables,A single pulse ECG for authentication assuming that there is no access to others' ECG signals,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/7550065/,~\cite{chun2016single}
Biometric-based Authentication,ECG Authentication ,Small scale single pulse ECG-based authentication using GLRT that considers T wave shift and adaptive template update with prior information,Se Young Chun,2016,2016,,,3.9% - 6.5%,,,,,,,,,,A generalized likelihood ratio test (GLRT) based authentication metric that considers T wave shift,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/7900101/,~\cite{chun2016small}
Biometric-based Authentication,ECG Authentication ,Feasibility of biometric authentication using wearable ECG body sensor based on higher-order statistics,"S Šprager, R Trobec, MB Jurič",2017,2017,,,6% - 13%,,,,,,,,,Wearables,Using long-term ECG data acquired by unobtrusive chest-worn ECG body sensor during daily living for accurate user authentication and identification,User authentication and identification ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7973431/,~\cite{vsprager2017feasibility}
Biometric-based Authentication,ECG Authentication ,ECG based authentication for e-healthcare systems: Towards a secured ECG features transmission,"EK Zaghouani, A Benzina, R Attia",2017,2017,,,0.15,,,,,,,,,Healthcare system,An electrocardiogram (ECG) biometric scheme that can authenticate patient identities in a healthcare system while protecting the privacy of their transmitted electrocardiogram signal,User authentication and identification ,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7986553/,~\cite{zaghouani2017ecg}
Biometric-based Authentication,ECG Authentication ,A 1.06 μw smart ecg processor in 65 nm cmos for real-time biometric authentication and personal cardiac monitoring,"Shihui Yin;
Minkyu Kim;
Deepak Kadetotad;
Yang Liu;
Chisung Bae;
Sang Joon Kim;
Yu Cao;
Jae-sun Seo",2017,2017,,,1.70% - 2.48%,,,,,,,,,Wearables,Using  ECG features toward both cardiac monitoring and neural-networkbased biometric authentication,User authentication,No,IEEE,https://ieeexplore.ieee.org/document/8008563/,~\cite{yin20191}
Biometric-based Authentication,ECG Authentication ,EarEcho: Using ear canal echo for wearable authentication,"Y Gao, W Wang, VV Phoha, W Sun, Z Jin",2019,2019,,,,,,,,,95.16% - 97.57%,94.19% - 97.55%,,Wearable and mobile,Adopt characteristics of human ear canal and in-ear sound waves,User authentication,No,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3351239,~\cite{gao2019earecho}
Biometric-based Authentication,ECG Authentication ,Practical privacy-preserving ECG-based authentication for IoT-based healthcare,"P Huang, L Guo, M Li, Y Fang",2019,2019,70% - 90%,,,94% - 97%,,,,,,,,,A practical scheme that can reliably authenticate patients with noisy ECG signals and provide differentially private protection simultaneously,Privacy-Preserving,No,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8764500/,~\cite{huang2019practical}
