group,search_keyword,title,authors,date,publisher,url
Biometric-based Authentication,ECG-based authentication wearable,ECG authentication system design based on signal analysis in mobile and wearable devices,"SJ Kang, SY Lee, HI Cho, H Park",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7412667/
Biometric-based Authentication,ECG-based authentication wearable,Feasibility of biometric authentication using wearable ECG body sensor based on higher-order statistics,"S Šprager, R Trobec, MB Jurič",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7973431/
Biometric-based Authentication,ECG-based authentication wearable,Implementation and Evaluation of ECG Authentication System Using Wearable Device,"JW Heo, SW Jin, MS Jun",2019,koreascience.kr,https://koreascience.kr/article/JAKO201931765048056.page
Biometric-based Authentication,ECG-based authentication wearable,Ecg biometric authentication: A comparative analysis,"M Ingale, R Cordeiro, S Thentu, Y Park…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9123339/
Biometric-based Authentication,ECG-based authentication wearable,ECG based user authentication for wearable devices using short time Fourier transform,"SY Chun, JH Kang, H Kim, C Lee…",2016,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7760964/
Biometric-based Authentication,ECG-based authentication wearable,A privacy-preserving ECG-based authentication system for securing wireless body sensor networks,"W Yang, S Wang",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9527321/
Biometric-based Authentication,ECG-based authentication wearable,Activity-aware ECG-based patient authentication for remote health monitoring,"JC Sriram, M Shin, T Choudhury, D Kotz",2009,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1647314.1647378
Biometric-based Authentication,ECG-based authentication wearable,Recent advances in biometrics-based user authentication for wearable devices: A contemporary survey,"S Liu, W Shao, T Li, W Xu, L Song",2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S1051200421001597
Biometric-based Authentication,ECG-based authentication wearable,A comprehensive survey on ECG signals as new biometric modality for human authentication: Recent advances and future challenges,"AN Uwaechia, DA Ramli",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9475452/
Biometric-based Authentication,ECG-based authentication wearable,EarEcho: Using ear canal echo for wearable authentication,"Y Gao, W Wang, VV Phoha, W Sun, Z Jin",2019,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3351239
Biometric-based Authentication,PPG-based authentication wearable,Trueheart: Continuous authentication on wrist-worn wearables using ppg-based biometrics,"T Zhao, Y Wang, J Liu, Y Chen…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155526/
Biometric-based Authentication,PPG-based authentication wearable,Your heart won't lie: PPG-based continuous authentication on wrist-worn wearable devices,"T Zhao, Y Wang, J Liu, Y Chen",2018,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3241539.3267748
Biometric-based Authentication,PPG-based authentication wearable,PPGPass: Nonintrusive and secure mobile two-factor authentication via wearables,"Y Cao, Q Zhang, F Li, S Yang…",2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9155380/
Biometric-based Authentication,PPG-based authentication wearable,Enhancing security through continuous biometric authentication using wearable sensors,"LD Chhibbar, S Patni, S Todi, A Bhatia, K Tiwari",2024,Elsevier,https://www.sciencedirect.com/science/article/pii/S2542660524003159
Biometric-based Authentication,PPG-based authentication wearable,Wearable Bio-Signal (PPG)-Based Personal Authentication Method Using Random Forest and Period Setting Considering the Feature of PPG Signals.,"SW Lee, DK Woo, YK Son, PS Mah",2019,jcomputers.us,http://www.jcomputers.us/vol14/jcp1404-05.pdf
Biometric-based Authentication,PPG-based authentication wearable,Gesture-related two-factor authentication for wearable devices via PPG sensors,"X Zhou, J Pan, Z Zhang, X Ji, H Chen",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10109506/
Biometric-based Authentication,PPG-based authentication wearable,M-PPG: A Non-intrusive Authentication for Wearable Devices via PPG Sensors with Motor Excitations,"J Pan, X Zhou, Y Hou, X Ji, H Chen",2024,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10643462/
Biometric-based Authentication,PPG-based authentication wearable,Continuous User Authentication via PPG,"X Guo, Y Wang, J Cheng, Y Chen",2024,Springer,https://link.springer.com/chapter/10.1007/978-3-031-57345-3_8
Biometric-based Authentication,PPG-based authentication wearable,Robust continuous authentication using cardiac biometrics from wrist-worn wearables,"T Zhao, Y Wang, J Liu, J Cheng…",2021,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9615379/
Biometric-based Authentication,PPG-based authentication wearable,PPGSign: Handwritten signature authentication using wearable PPG sensor,"ABMM Rahman, Y Cao, X Wei, P Wang…",2022,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9771813/
Biometric-based Authentication,EEG-based authentication wearable,In-ear EEG biometrics for feasible and readily collectable real-world person authentication,"T Nakamura, V Goverdovsky…",2017,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8067531/
Biometric-based Authentication,EEG-based authentication wearable,A review of EEG-based user authentication: trends and future research directions,"CA Fidas, D Lyras",2023,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10058960/
